Δx_g (m),Δx_d (m),Δx_avant (m),V_g (km/h),V_d (km/h)
0.2103239744901657,0.6315047144889832,5.423144817352295,2.7894096300005913,2.7894096300005913
0.2024381309747696,0.6315047144889832,5.423144817352295,2.785466708242893,2.785466708242893
0.2024381309747696,0.6813248991966248,5.423144817352295,2.7605566158890724,2.7605566158890724
0.2024381309747696,0.6813248991966248,4.3248772621154785,2.7605566158890724,2.7605566158890724
0.2024381309747696,0.6813248991966248,4.3248772621154785,2.7605566158890724,2.7605566158890724
0.2024381309747696,0.7429295778274536,4.3248772621154785,2.729754276573658,2.729754276573658
0.16900910437107086,0.7429295778274536,4.3248772621154785,2.7130397632718086,2.7130397632718086
0.16900910437107086,0.7429295778274536,4.3248772621154785,2.7130397632718086,2.7130397632718086
0.16900910437107086,0.7429295778274536,4.4618706703186035,2.7130397632718086,2.7130397632718086
0.15796096622943878,0.7429295778274536,4.4618706703186035,2.7075156942009926,2.7075156942009926
0.15796096622943878,0.7152146697044373,4.4618706703186035,2.7213731482625008,2.7213731482625008
0.15796096622943878,0.7152146697044373,2.7410385608673096,2.7213731482625008,2.7213731482625008
0.15796096622943878,0.7152146697044373,2.7410385608673096,2.7213731482625008,2.7213731482625008
0.15796096622943878,0.7152146697044373,2.5918266773223877,2.7213731482625008,2.7213731482625008
0.15080805122852325,0.7152146697044373,2.5918266773223877,2.717796690762043,2.717796690762043
0.15080805122852325,0.7047489285469055,2.5918266773223877,2.723029561340809,2.723029561340809
0.15080805122852325,0.7047489285469055,2.513025999069214,2.723029561340809,2.723029561340809
0.15080805122852325,0.7047489285469055,2.513025999069214,2.723029561340809,2.723029561340809
0.15080805122852325,0.6971625685691833,2.513025999069214,2.72682274132967,2.72682274132967
0.13997222483158112,0.6971625685691833,2.513025999069214,2.721404828131199,2.721404828131199
0.13997222483158112,0.6971625685691833,2.513025999069214,2.721404828131199,2.721404828131199
0.13997222483158112,0.6971625685691833,2.411381244659424,2.721404828131199,2.721404828131199
inf,0.6971625685691833,2.411381244659424,inf,inf
inf,0.6781677007675171,2.411381244659424,inf,inf
inf,0.6781677007675171,5.953664779663086,inf,inf
inf,0.6781677007675171,5.953664779663086,inf,inf
inf,0.7010799646377563,2.341607093811035,inf,inf
0.15035825967788696,0.7010799646377563,2.341607093811035,2.7246391475200653,2.7246391475200653
0.15035825967788696,0.7066563367843628,2.341607093811035,2.721850961446762,2.721850961446762
0.15035825967788696,0.7066563367843628,2.179164171218872,2.721850961446762,2.721850961446762
0.15035825967788696,0.7066563367843628,2.179164171218872,2.721850961446762,2.721850961446762
0.15035825967788696,0.7171781063079834,2.179164171218872,2.716590076684952,2.716590076684952
inf,0.7171781063079834,2.179164171218872,inf,inf
inf,0.7171781063079834,2.179164171218872,inf,inf
inf,0.7171781063079834,2.070361614227295,inf,inf
0.3875504434108734,0.7171781063079834,2.070361614227295,2.835186168551445,2.835186168551445
0.3875504434108734,0.6948535442352295,2.070361614227295,2.846348449587822,2.846348449587822
0.3875504434108734,0.6948535442352295,6.476688385009766,2.846348449587822,2.846348449587822
0.3875504434108734,0.6948535442352295,6.476688385009766,2.846348449587822,2.846348449587822
0.3875504434108734,0.6947163939476013,6.476688385009766,2.846417024731636,2.846417024731636
inf,0.6947163939476013,6.476688385009766,inf,inf
inf,0.6711907982826233,6.476688385009766,inf,inf
inf,0.6711907982826233,6.360551357269287,inf,inf
inf,0.6711907982826233,6.360551357269287,inf,inf
inf,0.6694536209106445,6.360551357269287,inf,inf
0.16940543055534363,0.6694536209106445,6.360551357269287,2.7499759048223495,2.7499759048223495
